source_dataset,source_row_id,source_name,raw_smiles,canonical_smiles,inchikey,is_first_occurrence_of_structure
lnp_atlas,229,3-A2-9b,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC,CCCCCCC(CC)CC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CC(CC)CCCCCC)c1O,SKQBNSLNZQZFAX-UHFFFAOYSA-N,True
lnp_atlas,230,4-A2-9b,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC,CCCCCCC(CC)CC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CC(CC)CCCCCC)c1O,MPERNPYDYFJGMD-UHFFFAOYSA-N,True
lnp_atlas,231,11-A2-9b,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC)CCN,CCCCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCCCC)c1O,KQAJUWKXVCQAFI-UHFFFAOYSA-N,True
lnp_atlas,232,12-A2-9b,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CC(CCCCCC)CC)OC(=O)CC(CCCCCC)CC)CCCN,CCCCCCC(CC)CC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CC(CC)CCCCCC)c1O,KQAJUWKXVCQAFI-UHFFFAOYSA-N,False
lnp_atlas,233,1-A2-9b2,NNCC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CNN)cc(OC(=O)CCC(CC)CCCCCC)c1O,KWOKOPLXUFFJJL-UHFFFAOYSA-N,True
lnp_atlas,234,2-A2-9b2,NCCCCNCC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CNCCCCN)cc(OC(=O)CCC(CC)CCCCCC)c1O,ZKZLUSCNQLUSPZ-UHFFFAOYSA-N,True
lnp_atlas,235,3-A2-9b2,NC1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CN2CCC(N)CC2)cc(OC(=O)CCC(CC)CCCCCC)c1O,JIZQBZVNFXTJNX-UHFFFAOYSA-N,True
lnp_atlas,236,4-A2-9b2,NCCN1CCN(CC1)CC2=CC(=C(O)C(=C2)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC,CCCCCCC(CC)CCC(=O)Oc1cc(CN2CCN(CCN)CC2)cc(OC(=O)CCC(CC)CCCCCC)c1O,GLCNPHFHEUTUJY-UHFFFAOYSA-N,True
lnp_atlas,237,11-A2-9b2,NCCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCN,CCCCCCC(CC)CCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCC(CC)CCCCCC)c1O,HKWDCDAMWQEIEI-UHFFFAOYSA-N,True
lnp_atlas,238,12-A2-9b2,NCCN(CC1=CC(=C(O)C(=C1)OC(=O)CCC(CC)CCCCCC)OC(=O)CCC(CC)CCCCCC)CCCN,CCCCCCC(CC)CCC(=O)Oc1cc(CN(CCN)CCCN)cc(OC(=O)CCC(CC)CCCCCC)c1O,HKWDCDAMWQEIEI-UHFFFAOYSA-N,False
